lam,a,b,distribution,gamma1,abs_gamma1,gamma2,neg_density,envelope,p_true_-2.0,err_edge_-2.0,err_sad_-2.0,p_true_-2.33,err_edge_-2.33,err_sad_-2.33,p_true_-3.0,err_edge_-3.0,err_sad_-3.0,p_true_-3.5,err_edge_-3.5,err_sad_-3.5,es_relerr_edge,es_relerr_sad
-0.5,2.0,0.0,Generalised Hyperbolic,0.0,0.0,1.4999999999999991,False,inside,0.026217163350585812,0.003281839411741899,0.004803629831483327,0.014953995446194024,0.004296354310133765,0.0024328294297578067,0.004794918814641001,0.0015408086804193488,0.00012314004710149793,0.0020667500740151495,6.830210422297022e-05,0.0002799813031590908,1.6698504864297805,0.8417983488511721
-0.5,2.0,0.2,Generalised Hyperbolic,0.21266570406782734,0.21266570406782734,1.5678589918043722,False,inside,0.022803367649685078,0.0006494777046718754,0.004777940444097923,0.012363988407317407,0.0027811579684163656,0.0026760538469732306,0.0035654708743584045,0.0017892521155494596,0.00045331942186580335,0.001418581064300742,0.0003934315772773937,2.0180275599005924e-05,5.140560617817944,1.5305476715680248
-0.5,2.0,0.5,Generalised Hyperbolic,0.5389561679446272,0.5389561679446272,1.9364916731037125,False,inside,0.017302664712921686,0.004309899856564282,0.006363392244347694,0.00851136230256064,0.0005073231921144516,0.004123406897353382,0.002004594299760932,0.0029190530834698673,0.0012510619493218775,0.0006851429239784969,0.0014697416932273517,0.000423130395450983,12.131133003092687,7.769010610190289
-0.5,3.0,-0.5,Generalised Hyperbolic,-0.29071536848411,0.29071536848411,1.126872339638024,False,inside,0.03045458902013883,0.0040728546432524625,0.003983210010245517,0.017791933322545146,0.004094693720570537,0.001823134229055317,0.005891968086280737,0.0010150406344084859,0.00019005587243850833,0.0025715551441234867,0.00038406582447434324,0.0004672369168089727,0.9280083981635026,2.2679821839282788
-0.5,3.0,-0.2,Generalised Hyperbolic,-0.11559871147906961,0.11559871147906961,1.020047073299084,False,inside,0.02755730160855963,0.0027225462083375965,0.0033476834942444827,0.015439627360764888,0.002962661167528736,0.0015514465853443543,0.004666403723360774,0.0007719085305988088,0.00010789496122382784,0.0018962686638193543,0.00024954725225518476,0.00032153245483193234,0.30716978545983237,1.3150581402786101
-0.5,3.0,0.0,Generalised Hyperbolic,0.0,0.0,0.9999999999999996,False,inside,0.025527326853649477,0.001722052303962069,0.00309482981019734,0.013857906314572106,0.002276685376034508,0.0015155484040696374,0.003909365076207998,0.0007644192643755992,8.039992670165301e-06,0.0015054597508860521,9.561807801275793e-05,0.00020711134398937177,1.3712976736498317,0.46151471524621784
-0.5,3.0,0.2,Generalised Hyperbolic,0.11559871147906961,0.11559871147906961,1.020047073299084,False,inside,0.02341606955089464,0.0006224921055684417,0.0030278196184843134,0.0122709712295916,0.001621416153932324,0.0016265965905578657,0.003205051262492314,0.0008670850824256827,0.00017533097479337017,0.0011623808045821851,0.00010603687544184044,8.183269306790688e-05,2.6618665069143432,0.6649461383697785
-0.5,3.0,0.5,Generalised Hyperbolic,0.29071536848411,0.29071536848411,1.126872339638024,False,inside,0.02009598884696755,0.0012645489082709696,0.0034100962382650687,0.009898267183875004,0.0006465589312431453,0.0021346808989809955,0.002258733255323631,0.0012125249476528594,0.0005191205528068685,0.0007376440255160127,0.0004984617769083768,0.00011743137715806778,4.929277903243244,3.1193319902593486
0.0,1.5,-0.5,Generalised Hyperbolic,-0.8728848792349269,0.8728848792349269,2.8548477589013297,True,outside,0.03779316250514358,0.011081276947250952,0.00944394911418886,0.025034254290451616,0.01328989212523526,0.005120266203172592,0.010968617939789364,0.0058726481225269515,0.0004628676135947814,0.005978540450200546,0.0004188647655869503,0.0006962480649209991,5.373607236462082,5.123352172927699
0.0,1.5,-0.2,Generalised Hyperbolic,-0.3472782242871006,0.3472782242871006,2.02110415851684,False,inside,0.03167588757080187,0.007914778247831336,0.006712086206545197,0.019682521689092035,0.008576947302146306,0.003338181849878323,0.007556523539767455,0.0026970301574978034,2.6481357586626182e-05,0.00372920740569666,0.0003313066131335309,0.0006070780834175416,2.227201987184515,3.379155387120227
