gamma_2,gamma_1_star
3.9625000000000004,0.3391287848353386
3.98625,0.26881907135248184
4.01,
4.03375,
4.0575,
4.08125,
4.105,
4.12875,
4.1525,
4.1762500000000005,
4.2,
4.22375,
4.2475000000000005,
4.27125,
4.295,
4.31875,
4.3425,
4.36625,
4.39,
4.41375,
4.4375,
4.46125,
4.485,
4.50875,
4.5325,
4.55625,
4.58,
4.60375,
4.6275,
4.65125,
4.675,
4.69875,
4.7225,
4.74625,
4.7700000000000005,
4.79375,
4.8175,
4.8412500000000005,
4.865,
4.88875,
4.9125,
4.93625,
4.96,
4.98375,
5.0075,
5.03125,
5.055,
5.07875,
5.1025,
5.12625,
5.15,
5.17375,
5.1975,
5.22125,
5.245,
5.26875,
5.2925,
5.31625,
5.34,
5.3637500000000005,
5.3875,
5.41125,
5.4350000000000005,
5.45875,
5.4825,
5.50625,
5.53,
5.55375,
5.5775,
5.60125,
5.625,
5.64875,
5.6725,
5.69625,
5.72,
5.74375,
5.7675,
5.79125,
5.815,
5.83875,
5.8625,
5.88625,
5.91,
5.93375,
5.9575000000000005,
5.98125,
6.005,
6.0287500000000005,
6.0525,
6.07625,
6.1,
6.12375,
6.1475,
6.17125,
6.195,
6.21875,
6.2425,
6.26625,
6.29,
6.31375,
6.3375,
6.36125,
6.385,
6.40875,
6.4325,
6.45625,
6.48,
6.50375,
6.5275,
6.55125,
6.574999999999999,
6.598750000000001,
6.6225000000000005,
6.64625,
6.67,
6.69375,
6.717499999999999,
6.741250000000001,
6.765000000000001,
6.78875,
6.8125,
6.83625,
6.859999999999999,
6.883750000000001,
6.907500000000001,
6.93125,
6.955,
6.97875,
7.0024999999999995,
7.026249999999999,
7.050000000000001,
7.07375,
7.0975,
7.12125,
7.145,
7.168749999999999,
7.192500000000001,
7.2162500000000005,
7.24,
7.26375,
7.2875,
7.311249999999999,
7.335000000000001,
7.358750000000001,
7.3825,
7.40625,
7.43,
7.453749999999999,
7.477500000000001,
7.501250000000001,
7.525,
7.54875,
7.5725,
7.5962499999999995,
7.620000000000001,
7.643750000000001,
7.6675,
7.69125,
7.715,
7.73875,
7.762499999999999,
7.786250000000001,
7.8100000000000005,
7.83375,
7.8575,
7.88125,
7.904999999999999,
7.928750000000001,
7.952500000000001,
7.97625,
8.0,
